OBJECTID,CityNameC,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,海西蒙古族藏,1,1467894,331533694593.097229003906250,0.000000000000000,402.161743164062500,402.161743164062500,396.387388523058064,43.462594559750329,581854669.288665771484375
2,海北藏族自治,2,153237,34609603117.365722656250000,0.000000000000000,401.447204589843750,401.447204589843750,386.508744661382480,75.582433868354855,59227440.505676269531250
3,阿里地区,3,1808301,408416896224.381530761718750,0.000000000000000,401.691497802734375,401.691497802734375,391.311658181080816,59.631307573011767,707609262.800506591796875
4,那曲地区,4,1847321,417229824653.152709960937500,0.000000000000000,401.551483154296875,401.551483154296875,391.186971635284465,61.557818740861805,722647907.628265380859375
5,西宁市,5,35034,7912663623.105324745178223,401.313140869140625,401.447204589843750,0.134063720703125,401.447151016398266,0.002706177902802,14064299.488708496093750
6,海南藏族自治,6,204480,46183177988.598983764648438,0.000000000000000,401.447204589843750,401.447204589843750,393.161889714851441,55.973397421042399,80393743.208892822265625
7,海东地区,7,59512,13441183922.425189971923828,0.000000000000000,401.447204589843750,401.447204589843750,401.408579437013827,3.679497046292096,23888627.379455566406250
8,玉树藏族自治,8,1010209,228162470914.928558349609375,0.000000000000000,401.444946289062500,401.444946289062500,397.228509833176588,37.497542072370827,401283815.690063476562500
9,黄南藏族自治,9,82484,18629564031.746864318847656,0.000000000000000,401.447204589843750,401.447204589843750,401.024440338606837,2.465448341050391,33078099.936889648437500
10,连云港市,10,32516,7343956452.842745780944824,0.000000000000000,403.089294433593750,403.089294433593750,385.063885423526756,82.073561619004934,12520737.298431396484375
11,果洛藏族自治,11,350352,79129346511.451644897460938,0.000000000000000,400.779266357421875,400.779266357421875,399.098154925720792,24.015393223444509,139824836.774536132812500
12,徐州市,12,48928,11050716611.043481826782227,402.523651123046875,403.682312011718750,1.158660888671875,403.045318485631753,0.576453668980238,19720201.342864990234375
13,盐城市,13,23560,5321183848.842880249023438,0.000000000000000,402.523651123046875,402.523651123046875,391.264606721939572,66.372174739326027,9218194.134368896484375
14,宿迁市,14,37728,8521121572.544320106506348,0.000000000000000,402.523651123046875,402.523651123046875,391.278424016290842,66.332606914893660,14762152.381286621093750
15,宿州市,15,44065,9952375479.595140457153320,402.523651123046875,403.682312011718750,1.158660888671875,403.316189369851827,0.538670783852571,17772127.884582519531250
16,淮安市,16,44514,10053785137.834972381591797,0.000000000000000,402.523651123046875,402.523651123046875,391.328874646200688,66.187908871178195,17419613.526000976562500
17,淮北市,17,11958,2700794416.997587203979492,403.682312011718750,403.682312011718750,0.000000000000000,403.682312011718750,0.000148430076801,4827233.087036132812500
18,亳州市,18,37652,8503956463.354504585266113,403.682312011718750,403.682312011718750,0.000000000000000,403.682312011718750,0.000000000000000,15199446.411865234375000
19,甘孜藏族自治,19,706948,159668942256.866577148437500,0.000000000000000,401.421600341796875,401.421600341796875,400.432890046846637,9.661138890608457,283085230.752838134765625
20,阿坝藏族羌族,20,383475,86610397981.113052368164062,0.000000000000000,401.421173095703125,401.421173095703125,400.947390766846354,1.188544615829700,153753300.674316406250000
21,扬州市,21,29165,6587110651.591791152954102,0.000000000000000,402.523651123046875,402.523651123046875,400.743514540116564,26.292141167576254,11687684.601562500000000
22,蚌埠市,22,26319,5944322483.773164749145508,402.523651123046875,403.682312011718750,1.158660888671875,403.351561631514642,0.523289239406029,10615809.750579833984375
23,泰州市,23,18247,4121207202.454840183258057,0.000000000000000,402.651458740234375,402.651458740234375,393.312001101904173,60.296712287286148,7176764.084106445312500
24,阜阳市,24,44688,10093084203.611656188964844,402.809753417968750,403.682312011718750,0.872558593750000,403.668090090971873,0.093557445268257,18039119.609985351562500
25,滁州市,25,59766,13498551524.191152572631836,0.000000000000000,403.682312011718750,403.682312011718750,402.494888313833940,4.952949603641022,24055509.494964599609375
26,日喀则地区,26,875897,197827205842.526824951171875,0.000000000000000,400.953948974609375,400.953948974609375,392.850515976853558,54.884335079656907,344096588.392578125000000
27,南通市,27,33562,7580202560.902578353881836,0.000000000000000,402.651458740234375,402.651458740234375,381.056421920842752,90.713435948608790,12789015.632507324218750
28,淮南市,28,9365,2115147994.245058298110962,403.682312011718750,403.682312011718750,0.000000000000000,403.682312011718750,0.000144573180542,3780484.851989746093750
29,十堰市,29,105351,23794229187.582607269287109,401.332153320312500,402.531982421875000,1.199829101562500,402.053292033184675,0.290167453565762,42356716.368988037109375
30,南京市,30,29136,6580560807.295677185058594,0.000000000000000,402.523651123046875,402.523651123046875,401.622127238634448,16.817863103086204,11701662.299224853515625
31,六安市,31,81529,18413870883.374835968017578,0.000000000000000,403.682312011718750,403.682312011718750,402.818263431169100,3.460372117344947,32841370.199279785156250
32,合肥市,32,52539,11866285154.259595870971680,0.000000000000000,403.682312011718750,403.682312011718750,402.227859969596409,13.716862935527196,21132649.534942626953125
33,镇江市,33,17009,3841596608.020736217498779,0.000000000000000,402.308990478515625,402.308990478515625,400.014677345679104,30.294536266351663,6803849.646972656250000
34,苏州市,34,38363,8664540576.959228515625000,0.000000000000000,402.651458740234375,402.651458740234375,363.404298582132469,119.420583804913704,13941279.106506347656250
