OBJECTID,CityNameC,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,海西蒙古族藏,1,1468335,331633297397.738098144531250,0.000000000000000,403.081817626953125,403.081817626953125,396.208377530516373,47.162176189936282,581766628.021270751953125
2,海北藏族自治,2,153237,34609603117.365722656250000,0.000000000000000,401.911743164062500,401.911743164062500,385.640748050542584,78.421056077576836,59094431.309020996093750
3,阿里地区,3,1808312,408419380648.080078125000000,0.000000000000000,403.960388183593750,403.960388183593750,391.559354631677763,62.789653937568161,708061479.692718505859375
4,那曲地区,4,1847325,417230728079.952148437500000,0.000000000000000,403.907684326171875,403.907684326171875,391.579842380188495,62.855369752742568,723375232.324981689453125
5,西宁市,5,35034,7912663623.105324745178223,401.283142089843750,401.798339843750000,0.515197753906250,401.283347968948476,0.010303883931177,14058560.812744140625000
6,海南藏族自治,6,204480,46183177988.598983764648438,0.000000000000000,401.716888427734375,401.716888427734375,386.610279306671430,75.030586646071441,79054069.912628173828125
7,海东地区,7,59512,13441183922.425189971923828,0.000000000000000,401.911743164062500,401.911743164062500,401.468211936412274,2.345672925385380,23892176.228759765625000
8,玉树藏族自治,8,1010209,228162470914.928558349609375,0.000000000000000,403.440826416015625,403.440826416015625,397.420675857101116,39.906559006130266,401477943.536926269531250
9,黄南藏族自治,9,82484,18629564031.746864318847656,0.000000000000000,401.716888427734375,401.716888427734375,401.451176628526071,2.430572916328118,33113298.853027343750000
10,连云港市,10,32516,7343956452.842745780944824,0.000000000000000,404.492156982421875,404.492156982421875,387.321642021247726,81.510893381897986,12594150.511962890625000
11,果洛藏族自治,11,350352,79129346511.451644897460938,0.000000000000000,401.716888427734375,401.716888427734375,398.685597657754499,31.889542054404668,139680296.510589599609375
12,徐州市,12,48928,11050716611.043481826782227,0.000000000000000,404.686187744140625,404.686187744140625,404.562981854395730,2.588412668372584,19794457.576171875000000
13,盐城市,13,23560,5321183848.842880249023438,0.000000000000000,404.492156982421875,404.492156982421875,393.263894220685700,66.450510449601452,9265297.347839355468750
14,宿迁市,14,37728,8521121572.544320106506348,0.000000000000000,404.492156982421875,404.492156982421875,389.225065391482303,77.086540478525663,14684683.267089843750000
15,宿州市,15,44065,9952375479.595140457153320,404.492156982421875,404.686187744140625,0.194030761718750,404.624876401211509,0.090207385249518,17829795.178619384765625
16,淮安市,16,44514,10053785137.834972381591797,0.000000000000000,404.492156982421875,404.492156982421875,391.779650184146988,70.572667985357327,17439679.348297119140625
17,淮北市,17,11958,2700794416.997587203979492,404.686187744140625,404.686187744140625,0.000000000000000,404.686187744140625,0.000000000000000,4839237.433044433593750
18,亳州市,18,37652,8503956463.354504585266113,404.686187744140625,404.686187744140625,0.000000000000000,404.686187744140625,0.000327709436074,15237244.340942382812500
19,甘孜藏族自治,19,706948,159668942256.866577148437500,0.000000000000000,403.903778076171875,403.903778076171875,402.248705725582795,10.658213137038622,284368918.015289306640625
20,阿坝藏族羌族,20,383475,86610397981.113052368164062,0.000000000000000,403.534057617187500,403.534057617187500,402.747461284078156,1.092026662000857,154443582.715911865234375
21,扬州市,21,29165,6587110651.591791152954102,0.000000000000000,404.986145019531250,404.986145019531250,400.887776474713178,38.680030894452351,11691892.000885009765625
22,蚌埠市,22,26319,5944322483.773164749145508,404.492156982421875,404.686187744140625,0.194030761718750,404.630799883173552,0.087631013298092,10649478.022125244140625
23,泰州市,23,18247,4121207202.454840183258057,0.000000000000000,404.986145019531250,404.986145019531250,395.183840824139111,61.099734391260185,7210919.543518066406250
24,阜阳市,24,44688,10093084203.611656188964844,404.550048828125000,404.901550292968750,0.351501464843750,404.685338128564865,0.026190215992977,18084578.390289306640625
25,滁州市,25,59766,13498551524.191152572631836,0.000000000000000,404.986145019531250,404.986145019531250,404.617667702256597,5.239254154596001,24182379.527893066406250
26,日喀则地区,26,875899,197827657555.926574707031250,0.000000000000000,401.437194824218750,401.437194824218750,392.821620793342959,56.332937549007767,344072064.831268310546875
27,南通市,27,33562,7580202560.902578353881836,0.000000000000000,404.650390625000000,404.650390625000000,383.261623776518093,90.540010563985035,12863026.617187500000000
28,淮南市,28,9365,2115147994.245058298110962,404.686187744140625,404.686187744140625,0.000000000000000,404.686187744140625,0.000000000000000,3789886.148223876953125
29,十堰市,29,105351,23794229187.582607269287109,403.824523925781250,404.808349609375000,0.983825683593750,404.547259837635977,0.264763226948211,42619458.371154785156250
30,南京市,30,29136,6580560807.295677185058594,0.000000000000000,404.986145019531250,404.986145019531250,404.404139682658752,14.806136159937013,11782719.013793945312500
31,六安市,31,81529,18413870883.374835968017578,0.000000000000000,404.901550292968750,404.901550292968750,404.882200483855968,2.005846261678686,33009640.923248291015625
32,合肥市,32,52539,11866285154.259595870971680,0.000000000000000,404.986145019531250,404.986145019531250,404.879676996153876,3.950413102209312,21271973.349700927734375
33,镇江市,33,17009,3841596608.020736217498779,0.000000000000000,404.986145019531250,404.986145019531250,402.747994767791795,30.023499560768123,6850340.643005371093750
34,苏州市,34,38363,8664540576.959228515625000,0.000000000000000,404.986145019531250,404.986145019531250,373.917605713087880,107.205907640684799,14344601.107971191406250
35,绵阳市,35,92621,20919073398.288471221923828,402.599273681640625,404.151580810546875,1.552307128906250,403.593012507622518,0.469816710730484,37381188.411468505859375
36,上海市,36,35265,7964836520.774370193481445,0.000000000000000,404.650390625000000,404.650390625000000,351.614970081436979,136.557855166523979,12399701.919921875000000
37,常州市,37,19359,4372359852.705828666687012,0.000000000000000,404.986145019531250,404.986145019531250,403.061340745048710,27.546494635171737,7802864.495483398437500
