OBJECTID,CityNameC,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,海西蒙古族藏,1,1477683,300109158319.089111328125000,0.000000000000000,415.343109130859375,415.343109130859375,408.278496055293715,48.662102253031421,603306192.886474609375000
2,海北藏族自治,2,161804,32861488054.381011962890625,0.000000000000000,414.125396728515625,414.125396728515625,409.094063722755209,43.851961067831461,66193055.886596679687500
3,阿里地区,3,1560721,316973712007.871154785156250,0.000000000000000,417.297760009765625,417.297760009765625,406.017014860427764,60.056733966584481,633679281.449981689453125
4,那曲地区,4,1737745,352926296995.502807617187500,0.000000000000000,415.514862060546875,415.514862060546875,405.271421754224662,59.043189421239546,704258386.796295166015625
5,西宁市,5,37198,7554705895.075924873352051,413.872772216796875,414.077148437500000,0.204376220703125,413.872838148154699,0.003654049996142,15395241.833435058593750
6,海南藏族自治,6,215116,43688857286.014106750488281,0.000000000000000,415.027984619140625,415.027984619140625,406.393801856389871,55.093224101388145,87421809.080139160156250
7,海东地区,7,63559,12908477659.689517974853516,0.000000000000000,414.125396728515625,414.125396728515625,413.919945454953449,3.673261647425313,26308337.813171386718750
8,玉树藏族自治,8,1009021,204926525537.808593750000000,0.000000000000000,415.241790771484375,415.241790771484375,410.613051825104606,37.330999475038183,414317192.165618896484375
9,黄南藏族自治,9,87504,17771573327.671478271484375,413.872772216796875,415.027984619140625,1.155212402343750,414.358995392632494,0.570331754696154,36258069.532836914062500
10,连云港市,10,36165,7344909368.660164833068848,0.000000000000000,417.704956054687500,417.704956054687500,399.662022063420011,84.771665960691180,14453777.027923583984375
11,果洛藏族自治,11,365452,74221258636.681732177734375,0.000000000000000,415.027984619140625,415.027984619140625,412.953737279558084,23.066549353040241,150914769.196289062500000
12,徐州市,12,54496,11067833014.088327407836914,0.000000000000000,417.914215087890625,417.914215087890625,417.761050916460078,4.003110079026275,22766306.230743408203125
13,盐城市,13,26261,5333462323.527847290039062,0.000000000000000,417.704956054687500,417.704956054687500,406.045928112564752,68.804802315333220,10663172.118164062500000
14,宿迁市,14,41977,8525294084.563742637634277,0.000000000000000,417.704956054687500,417.704956054687500,407.097397554692350,65.713845268162714,17088727.457153320312500
15,宿州市,15,49040,9959749908.450006484985352,417.704956054687500,417.914215087890625,0.209259033203125,417.848266915823842,0.097217834096506,20491279.009552001953125
16,淮安市,16,49487,10050533110.103292465209961,0.000000000000000,417.704956054687500,417.704956054687500,405.862652958021158,69.327833892008087,20084925.106933593750000
17,淮北市,17,13305,2702171136.458550930023193,417.914215087890625,417.914215087890625,0.000000000000000,417.914215087890625,0.000000000000000,5560348.631744384765625
18,亳州市,18,41913,8512296042.268864631652832,417.914215087890625,417.914215087890625,0.000000000000000,417.914215087890625,0.000418110511700,17516038.496978759765625
19,甘孜藏族自治,19,737082,149697234543.640869140625000,0.000000000000000,417.433135986328125,417.433135986328125,415.539319000690909,5.077294054726829,306286552.327667236328125
20,阿坝藏族羌族,20,407871,82836320450.844467163085938,415.027984619140625,415.920471191406250,0.892486572265625,415.529706975564750,0.355108968337907,169482517.113830566406250
21,扬州市,21,32427,6585742460.874966621398926,0.000000000000000,418.749359130859375,418.749359130859375,417.857572338791158,6.977304607755790,13549867.498229980468750
22,蚌埠市,22,29326,5955946692.805972099304199,417.704956054687500,417.914215087890625,0.209259033203125,417.854568485607842,0.094466557265060,12254003.075408935546875
23,泰州市,23,20302,4123222729.228222370147705,0.000000000000000,418.749359130859375,418.749359130859375,408.974154330582337,60.801189885212104,8302993.281219482421875
24,阜阳市,24,49703,10094401502.848505020141602,417.914215087890625,418.303924560546875,0.389709472656250,417.924010357976556,0.060045297199214,20772077.086822509765625
25,滁州市,25,66480,13501716433.804168701171875,0.000000000000000,418.749359130859375,418.749359130859375,417.997300790908412,6.298091243549972,27788460.556579589843750
26,日喀则地区,26,785703,159571887893.941589355468750,0.000000000000000,414.522796630859375,414.522796630859375,407.105050337656849,51.515909987009344,319863659.365447998046875
27,南通市,27,37263,7567907031.781660079956055,0.000000000000000,418.071258544921875,418.071258544921875,395.733285870608483,94.020632448455913,14746209.431396484375000
28,淮南市,28,10406,2113400439.382764339447021,417.914215087890625,417.914215087890625,0.000000000000000,417.914215087890625,0.000000000000000,4348815.322204589843750
29,十堰市,29,116245,23608709790.125835418701172,415.833129882812500,417.199279785156250,1.366149902343750,416.932572065746626,0.348148051300184,48466326.839782714843750
30,南京市,30,32416,6583508422.355534553527832,417.704956054687500,418.749359130859375,1.044403076171875,418.664881562198161,0.284766879678620,13571440.800720214843750
31,六安市,31,90753,18431427068.547378540039062,417.914215087890625,418.303924560546875,0.389709472656250,418.286915324255062,0.079619783906450,37960792.426422119140625
32,合肥市,32,58460,11872899258.727312088012695,0.000000000000000,418.749359130859375,418.749359130859375,418.327927231372655,6.243016028820530,24455450.625946044921875
33,镇江市,33,18924,3843358631.066637992858887,0.000000000000000,418.749359130859375,418.749359130859375,418.461695757962445,10.971604388916720,7918969.130523681640625
34,苏州市,34,42581,8647963108.721651077270508,0.000000000000000,418.749359130859375,418.749359130859375,396.921081316493201,91.642633035453386,16901296.563537597656250
35,绵阳市,35,99760,20260698427.140552520751953,415.231231689453125,417.016326904296875,1.785095214843750,416.072352211591976,0.632725646336506,41507377.856628417968750
36,上海市,36,39107,7942413125.402822494506836,0.000000000000000,418.071258544921875,418.071258544921875,364.009674826874743,140.281643524282686,14235326.353454589843750
37,常州市,37,21495,4365514361.381175994873047,0.000000000000000,418.749359130859375,418.749359130859375,418.431511707221603,9.891869815198847,8994185.344146728515625
38,无锡市,38,22797,4629943284.317593574523926,0.000000000000000,418.749359130859375,418.749359130859375,415.298252023217572,35.569775467576818,9467554.251373291015625
39,昌都地区,39,540786,109830614069.964218139648438,0.000000000000000,415.971099853515625,415.971099853515625,412.883888338503368,27.853882107919077,223281826.439025878906250
