OBJECTID,CityNameC,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,海西蒙古族藏,1,1373880,310937359550.863708496093750,0.000000000000000,396.356353759765625,396.356353759765625,389.543369343991117,47.048887580272314,535185844.274322509765625
2,海北藏族自治,2,155810,35263014230.951812744140625,0.000000000000000,395.825805664062500,395.825805664062500,376.893918840689764,83.915251577756237,58723841.494567871093750
3,阿里地区,3,1401486,317185166308.194152832031250,0.000000000000000,396.155090332031250,396.155090332031250,385.980869733686234,59.614910048813499,540946785.199584960937500
4,那曲地区,4,1583534,358386380702.111877441406250,0.000000000000000,396.162963867187500,396.162963867187500,384.831147067168786,61.553374930331906,609393205.639862060546875
5,西宁市,5,36183,8188958628.576661109924316,395.317291259765625,395.823852539062500,0.506561279296875,395.823684539301496,0.009219975900015,14322088.377685546875000
6,海南藏族自治,6,207778,47024443687.046440124511719,0.000000000000000,395.823852539062500,395.823852539062500,380.204380134798669,75.738966181069969,78998105.695648193359375
7,海东地区,7,62381,14118105967.145915985107422,0.000000000000000,395.823852539062500,395.823852539062500,395.624599675281729,7.921847399583926,24679458.152343750000000
8,玉树藏族自治,8,940038,212749973503.853942871093750,0.000000000000000,396.162963867187500,396.162963867187500,392.362169584630692,32.714068228318631,368835349.171997070312500
9,黄南藏族自治,9,85627,19379154865.244277954101562,0.000000000000000,395.823852539062500,395.823852539062500,395.751749592744432,4.876676393354031,33887035.062377929687500
10,连云港市,10,43883,9931627324.926887512207031,0.000000000000000,398.197937011718750,398.197937011718750,381.010843654987525,80.831482529929858,16719898.852111816406250
11,果洛藏族自治,11,352041,79674133835.302658081054688,0.000000000000000,395.795318603515625,395.795318603515625,395.103204883703484,6.473147268509670,139092527.350463867187500
12,徐州市,12,64522,14602658392.975244522094727,0.000000000000000,398.197937011718750,398.197937011718750,397.878403634635731,8.142616682574024,25671910.359313964843750
13,盐城市,13,32391,7330750875.776652336120605,0.000000000000000,398.197937011718750,398.197937011718750,386.949407717602412,65.974326430394385,12533678.265380859375000
14,宿迁市,14,50713,11477397090.650531768798828,0.000000000000000,398.197937011718750,398.197937011718750,388.218058520170359,62.244429888728895,19687702.401733398437500
15,宿州市,15,58040,13135648199.502235412597656,397.855773925781250,398.197937011718750,0.342163085937500,397.964724924940640,0.159400943273469,23097872.634643554687500
16,淮安市,16,60438,13678365022.079877853393555,0.000000000000000,398.197937011718750,398.197937011718750,384.698026807261101,72.065170627912437,23250379.344177246093750
17,淮北市,17,15626,3536485850.541384220123291,397.855773925781250,397.855773925781250,0.000000000000000,397.855773925781250,0.000000000000000,6216894.323364257812500
18,亳州市,18,48987,11086767717.936182022094727,397.855773925781250,397.855773925781250,0.000000000000000,397.855773925781250,0.000367542923301,19489760.797302246093750
19,甘孜藏族自治,19,717520,162389564026.651336669921875,0.000000000000000,396.718475341796875,396.718475341796875,395.372461338364303,10.122165201219609,283687648.459503173828125
20,阿坝藏族羌族,20,405198,91704658496.586959838867188,395.768676757812500,396.376037597656250,0.607360839843750,396.087676805380397,0.270125986941816,160493934.466186523437500
21,扬州市,21,40126,9081340793.473926544189453,0.000000000000000,399.540405273437500,399.540405273437500,396.805188975162821,26.268814135954823,15922205.012817382812500
22,蚌埠市,22,34915,7901984095.203661918640137,397.855773925781250,398.197937011718750,0.342163085937500,397.953919803073632,0.154755688036944,13894561.109924316406250
23,泰州市,23,25424,5753975186.494569778442383,0.000000000000000,399.540405273437500,399.540405273437500,389.444837580993521,60.341095137071534,9901245.550659179687500
24,阜阳市,24,57848,13092194642.398437500000000,397.508392333984375,398.723297119140625,1.214904785156250,397.855881103422803,0.088302230675671,23015167.010070800781250
25,滁州市,25,80580,18236914747.000175476074219,0.000000000000000,399.540405273437500,399.540405273437500,398.549553623043266,5.994114539985599,32115123.030944824218750
26,日喀则地区,26,710694,160844699543.367370605468750,0.000000000000000,395.364715576171875,395.364715576171875,386.358985393300372,54.435814839675757,274583012.765106201171875
27,南通市,27,47730,10802282711.272254943847656,0.000000000000000,399.093597412109375,399.093597412109375,377.270126026280650,90.737774934376304,18007103.115234375000000
28,淮南市,28,12336,2791891043.919013977050781,397.855773925781250,397.855773925781250,0.000000000000000,397.855773925781250,0.000000000000000,4907948.827148437500000
29,十堰市,29,125997,28515717887.537616729736328,397.043457031250000,397.768798828125000,0.725341796875000,397.394380496840768,0.334428479372454,50070499.759460449218750
30,南京市,30,39978,9047845343.206415176391602,0.000000000000000,399.540405273437500,399.540405273437500,398.243225355671711,21.763049024473293,15920967.663269042968750
31,六安市,31,107528,24335802543.006141662597656,0.000000000000000,398.723297119140625,398.723297119140625,398.663315107403605,2.983310864571120,42867468.946868896484375
32,合肥市,32,70378,15927991884.641080856323242,0.000000000000000,399.540405273437500,399.540405273437500,391.991578725093746,52.130574173623188,27587583.327514648437500
33,镇江市,33,23540,5327587157.413553237915039,0.000000000000000,399.540405273437500,399.540405273437500,397.062372173610754,31.367717497644730,9346848.240966796875000
34,苏州市,34,54467,12327004660.273746490478516,0.000000000000000,399.540405273437500,399.540405273437500,351.184975564780757,129.717021334740480,19127992.064086914062500
35,绵阳市,35,101330,22933067402.749164581298828,396.266662597656250,396.529449462890625,0.262786865234375,396.406966695669780,0.086500037921431,40167917.935272216796875
36,上海市,36,50842,11506592449.329645156860352,0.000000000000000,399.093597412109375,399.093597412109375,346.273078609031529,135.241723072610796,17605215.862640380859375
37,常州市,37,26952,6099793078.445628166198730,0.000000000000000,399.540405273437500,399.540405273437500,396.697830200195312,33.248151888628897,10691799.919555664062500
38,无锡市,38,28816,6521654695.328332901000977,0.000000000000000,399.540405273437500,399.540405273437500,393.537195850649766,47.513393386775789,11340167.835632324218750
39,昌都地区,39,514237,116382431481.175582885742188,0.000000000000000,395.698394775390625,395.698394775390625,392.241462223661983,31.363390807484723,201705072.809509277343750
40,广元市,40,82332,18633428455.572330474853516,396.266662597656250,396.573120117187500,0.306457519531250,396.529684842851964,0.058490297346788,32647082.012481689453125
41,襄樊市,41,107549,24340555275.814369201660156,397.059448242187500,398.090515136718750,1.031066894531250,397.814172196092727,0.174891745780780,42784516.405517578125000
42,马鞍山市,42,25899,5861477476.204486846923828,0.000000000000000,399.540405273437500,399.540405273437500,398.877050030889222,16.266443444829239,10330516.718750000000000
43,巴中市,43,62994,14256840501.024187088012695,396.529449462890625,397.604431152343750,1.074981689453125,396.616404463534309,0.284933706029010,24984453.782775878906250
44,随州市,44,53606,12132142615.136404037475586,398.090515136718750,398.090515136718750,0.000000000000000,398.090515136718750,0.000155547414444,21340040.154418945312500
45,达州市,45,85831,19425324269.667064666748047,396.529449462890625,397.604431152343750,1.074981689453125,397.202949018416518,0.519998339514247,34092326.317199707031250
46,芜湖市,46,35077,7938648034.009991645812988,0.000000000000000,399.540405273437500,399.540405273437500,398.582937696978775,19.528463416780944,13981093.705596923828125
47,孝感市,47,50130,11345452175.069728851318359,398.090515136718750,398.090515136718750,0.000000000000000,398.090515136718750,0.000155191540409,19956277.523803710937500
48,宣城市,48,75423,17069779361.665353775024414,0.000000000000000,399.699523925781250,399.699523925781250,398.613398107201419,19.223100571004661,30064618.325439453125000
49,黄冈市,49,100738,22799085601.679122924804688,0.000000000000000,398.951507568359375,398.951507568359375,398.447100755312533,7.945937506684218,40138764.035888671875000
50,神农架林区,50,17346,3925757299.596240043640137,397.604431152343750,397.768798828125000,0.164367675781250,397.767623825715418,0.013845700038315,6899677.202880859375000
51,拉萨市,51,133928,30310666644.778350830078125,0.000000000000000,394.147033691406250,394.147033691406250,387.208763137369829,50.121210235944254,51858095.229461669921875
52,安庆市,52,90520,20486541609.561378479003906,0.000000000000000,399.540405273437500,399.540405273437500,395.796145198011232,34.229930756708704,35827467.063323974609375
53,荆门市,53,68316,15461318786.995084762573242,397.768798828125000,398.090515136718750,0.321716308593750,397.947570924073773,0.159857414078993,27186186.255249023437500
54,南充市,54,63586,14390822302.094230651855469,396.529449462890625,396.529449462890625,0.000000000000000,396.529449462890625,0.000000000000000,25213721.573547363281250
55,铜陵市,55,6357,1438720117.233558177947998,0.000000000000000,399.540405273437500,399.540405273437500,398.283395975739097,22.375118588457109,2531887.548217773437500
56,武汉市,56,48869,11060061885.966138839721680,0.000000000000000,398.723297119140625,398.723297119140625,397.523423466747488,15.055950309525587,19426572.181396484375000
57,宜昌市,57,115213,26075076430.207633972167969,397.768798828125000,398.543060302734375,0.774261474609375,397.768986995443697,0.012065117366602,45828158.298706054687500
58,德阳市,58,29519,6680758084.099009513854980,396.376037597656250,396.529449462890625,0.153411865234375,396.384212565101393,0.034456699052339,11700865.570709228515625
59,池州市,59,50535,11437112022.085552215576172,0.000000000000000,399.540405273437500,399.540405273437500,398.279581494971580,17.738663927604687,20127058.650848388671875
60,恩施土家族苗,60,128224,29019733885.819686889648438,397.216094970703125,398.543060302734375,1.326965332031250,397.591702516459179,0.314495893542089,50980798.463470458984375
61,成都市,61,60246,13634911464.976079940795898,396.376037597656250,396.376037597656250,0.000000000000000,396.376037597656250,0.000000000000000,23880070.761108398437500
62,黄山市,62,58846,13318062611.094221115112305,398.723297119140625,399.699523925781250,0.976226806640625,399.587271823875938,0.200968009269016,23514112.597747802734375
63,林芝地区,63,531234,120229202887.911285400390625,0.000000000000000,395.698394775390625,395.698394775390625,390.829801390964576,35.147805660066687,207622078.712127685546875
64,天门市,64,39879,9025439602.824769973754883,397.768798828125000,398.090515136718750,0.321716308593750,398.090482867473440,0.003225733199894,15875450.366271972656250
65,遂宁市,65,26950,6099340437.225796699523926,396.529449462890625,396.529449462890625,0.000000000000000,396.529449462890625,0.000241526692625,10686468.663024902343750
66,鄂州市,66,9155,2071965183.777446031570435,0.000000000000000,398.723297119140625,398.723297119140625,396.007796999537049,29.049935277535880,3625451.381530761718750
67,雅安市,67,74058,16760851729.130540847778320,395.768676757812500,397.239501953125000,1.470825195312500,396.655997920716914,0.421426147118623,29375549.894012451171875
68,荆州市,68,78334,17728598657.129707336425781,0.000000000000000,398.543060302734375,398.543060302734375,398.130826590050049,1.456784861248539,31187180.170104980468750
69,广安市,69,32562,7369451700.072222709655762,396.529449462890625,396.529449462890625,0.000000000000000,396.529449462890625,0.000000000000000,12911791.933410644531250
70,黄石市,70,26450,5986180132.267990112304688,0.000000000000000,398.951507568359375,398.951507568359375,398.449672466198763,7.359102436825656,10538993.836730957031250
71,九江市,71,111603,25258059028.412265777587891,0.000000000000000,398.951507568359375,398.951507568359375,397.747261670892271,20.303147228867523,44389787.644256591796875
