OBJECTID,CityNameC,ZONE_CODE,COUNT,AREA,MIN,MAX,RANGE,MEAN,STD,SUM
1,海西蒙古族藏,1,1477728,300120931820.669067382812500,0.000000000000000,417.248474121093750,417.248474121093750,412.556865581177135,41.263073098211677,609646831.861541748046875
2,海北藏族自治,2,161821,32865229127.520416259765625,0.000000000000000,417.248474121093750,417.248474121093750,412.868786361897719,38.946379488963473,66810839.877868652343750
3,阿里地区,3,1560656,316963292954.805053710937500,0.000000000000000,418.689300537109375,418.689300537109375,409.717065013614445,55.476259519344914,639427395.815887451171875
4,那曲地区,4,1737747,352929800956.990905761718750,0.000000000000000,418.153045654296875,418.153045654296875,410.869475173362105,48.607657306983690,713987197.874084472656250
5,西宁市,5,37198,7554772205.619199752807617,416.011138916015625,416.402252197265625,0.391113281250000,416.402115510544377,0.007320669347082,15489325.892761230468750
6,海南藏族自治,6,215110,43688022182.664283752441406,0.000000000000000,417.329376220703125,417.329376220703125,410.571335675898069,48.836799750925103,88318000.017242431640625
7,海东地区,7,63569,12910621924.270307540893555,0.000000000000000,416.839416503906250,416.839416503906250,416.500998799828494,4.051691284444684,26476551.992706298828125
8,玉树藏族自治,8,1009042,204932589276.369934082031250,0.000000000000000,417.434539794921875,417.434539794921875,414.649405351349230,28.919229787144282,418398665.274536132812500
9,黄南藏族自治,9,87501,17771120026.987621307373047,0.000000000000000,417.329376220703125,417.329376220703125,416.787665081539672,1.481479402436311,36469337.482299804687500
10,连云港市,10,36177,7347410992.061018943786621,0.000000000000000,419.862396240234375,419.862396240234375,402.506667127049582,83.568310303200406,14561483.696655273437500
11,果洛藏族自治,11,365435,74218457469.768600463867188,0.000000000000000,417.329376220703125,417.329376220703125,415.460510641811481,25.366620163270159,151823811.706390380859375
12,徐州市,12,54450,11058587735.791316986083984,0.000000000000000,419.862396240234375,419.862396240234375,419.496119464352319,8.992844774365388,22841563.704833984375000
13,盐城市,13,26257,5332696752.592701911926270,0.000000000000000,419.862396240234375,419.862396240234375,408.461174146343694,68.241897417570129,10724965.049560546875000
14,宿迁市,14,41984,8526790587.685264587402344,0.000000000000000,419.862396240234375,419.862396240234375,396.801166111376233,95.659411493154053,16659300.158020019531250
15,宿州市,15,49060,9963899252.854398727416992,419.477722167968750,419.862396240234375,0.384674072265625,419.598989375503606,0.178725052098355,20585526.418762207031250
16,淮安市,16,49484,10050012038.896190643310547,0.000000000000000,419.862396240234375,419.862396240234375,399.083093669861455,91.064089268226610,19748227.807159423828125
17,淮北市,17,13296,2700366988.706728458404541,419.477722167968750,419.477722167968750,0.000000000000000,419.477722167968750,0.000203171227331,5577375.793945312500000
18,亳州市,18,41906,8510949084.592671394348145,419.477722167968750,419.477722167968750,0.000000000000000,419.477722167968750,0.000000000000000,17578633.425170898437500
19,甘孜藏族自治,19,737043,149690627741.980529785156250,0.000000000000000,418.967224121093750,418.967224121093750,418.102474376213422,6.271601915733939,308159502.021667480468750
20,阿坝藏族羌族,20,407897,82842328037.944366455078125,417.329376220703125,419.350402832031250,2.021026611328125,418.380729511013840,0.674189286517470,170656244.425354003906250
21,扬州市,21,32403,6580925957.811681747436523,0.000000000000000,420.386749267578125,420.386749267578125,410.680416508743406,61.865907511168643,13307277.536132812500000
22,蚌埠市,22,29308,5952343238.945305824279785,419.477722167968750,419.862396240234375,0.384674072265625,419.587304665216777,0.173623672149420,12297264.725128173828125
23,泰州市,23,20315,4125899170.846659660339355,0.000000000000000,420.459777832031250,420.459777832031250,410.197789690607806,64.083749851862478,8333168.097564697265625
24,阜阳市,24,49710,10095911778.626012802124023,419.391265869140625,420.258026123046875,0.866760253906250,419.482032949923052,0.068832309624273,20852451.857940673828125
25,滁州市,25,66497,13505287578.823053359985352,0.000000000000000,420.386749267578125,420.386749267578125,419.308281251046367,17.225454514166518,27882742.778350830078125
